
 mc Seq:12004, 1.036000 0.000000 0.000000 0.000000 
 mc Seq:12104, 0.984000 0.000000 0.000000 0.000000 
 mc Seq:12204, 0.923000 0.000000 0.000000 0.000000 
 mc Seq:12304, 0.975000 0.000000 0.000000 0.000000 
 mc Seq:12404, 1.040000 0.000000 0.000000 0.000000 
 mc Seq:12504, 1.007000 0.000000 0.000000 0.000000 
 mc Seq:12604, 1.115000 0.000000 0.000000 0.000000 
 mc Seq:12704, 1.059000 0.000000 0.000000 0.000000 
 mc Seq:12804, 1.129000 0.000000 0.000000 0.000000 
 mc Seq:12904, 1.068000 0.000000 0.000000 0.000000 
 mc Seq:13004, 1.045000 0.000000 0.000000 0.000000 
 mc Seq:13104, 1.101000 0.000000 0.000000 0.000000 
 mc Seq:13204, 1.167000 0.000000 0.000000 0.000000 
 mc Seq:13304, 1.092000 0.000000 0.000000 0.000000 
 mc Seq:13404, 1.026000 0.000000 0.000000 0.000000 
 mc Seq:13504, 1.162000 0.000000 0.000000 0.000000 
 mc Seq:13604, 1.125000 0.000000 0.000000 0.000000 
 mc Seq:13704, 1.064000 0.000000 0.000000 0.000000 
 mc Seq:13804, 1.050000 0.000000 0.000000 0.000000 
 mc Seq:13904, 1.194000 0.000000 0.000000 0.000000 
 mc Seq:14004, 1.054000 0.000000 0.000000 0.000000 
 mc Seq:14104, 1.050000 0.000000 0.000000 0.000000 
 mc Seq:14204, 1.054000 0.000000 0.000000 0.000000 
 mc Seq:14304, 1.045000 0.000000 0.000000 0.000000 
 mc Seq:14404, 1.026000 0.000000 0.000000 0.000000 
 mc Seq:14504, 1.050000 0.000000 0.000000 0.000000 
 mc Seq:14604, 1.036000 0.000000 0.000000 0.000000 
 mc Seq:14704, 1.003000 0.000000 0.000000 0.000000 
 mc Seq:14804, 0.932000 0.000000 0.000000 0.000000 
 mc Seq:14904, 0.928000 0.000000 0.000000 0.000000 
 mc Seq:15004, 0.932000 0.000000 0.000000 0.000000 
 mc Seq:15104, 0.895000 0.000000 0.000000 0.000000 
 mc Seq:15204, 0.937000 0.000000 0.000000 0.000000 
 mc Seq:15304, 0.979000 0.000000 0.000000 0.000000 
 mc Seq:15404, 0.904000 0.000000 0.000000 0.000000 
 mc Seq:15504, 0.970000 0.000000 0.000000 0.000000 
 mc Seq:15604, 0.979000 0.000000 0.000000 0.000000 
 mc Seq:15704, 0.975000 0.000000 0.000000 0.000000 
 mc Seq:15804, 0.900000 0.000000 0.000000 0.000000 
 mc Seq:15904, 0.975000 0.000000 0.000000 0.000000 
 mc Seq:16004, 0.918000 0.000000 0.000000 0.000000 
 mc Seq:16104, 0.961000 0.000000 0.000000 0.000000 
 mc Seq:16204, 0.984000 0.000000 0.000000 0.000000 
 mc Seq:16304, 0.932000 0.000000 0.000000 0.000000 
 mc Seq:16404, 0.979000 0.000000 0.000000 0.000000 
 mc Seq:16504, 0.984000 0.000000 0.000000 0.000000 
 mc Seq:16604, 0.989000 0.000000 0.000000 0.000000 
 mc Seq:16704, 0.989000 0.000000 0.000000 0.000000 
 mc Seq:16804, 0.918000 0.000000 0.000000 0.000000 
 mc Seq:16904, 0.951000 0.000000 0.000000 0.000000 
 mc Seq:17004, 1.007000 0.000000 0.000000 0.000000 
 mc Seq:17104, 0.965000 0.000000 0.000000 0.000000 
 mc Seq:17204, 0.951000 0.000000 0.000000 0.000000 
 mc Seq:17304, 0.956000 0.000000 0.000000 0.000000 
 mc Seq:17404, 0.942000 0.000000 0.000000 0.000000 
 mc Seq:17504, 0.947000 0.000000 0.000000 0.000000 
 mc Seq:17604, 0.998000 0.000000 0.000000 0.000000 
 mc Seq:17704, 0.979000 0.000000 0.000000 0.000000 
 mc Seq:17804, 0.993000 0.000000 0.000000 0.000000 
 mc Seq:17904, 0.961000 0.000000 0.000000 0.000000 
 mc Seq:18004, 0.998000 0.000000 0.000000 0.000000 
 mc Seq:18104, 0.942000 0.000000 0.000000 0.000000 
 mc Seq:18204, 0.923000 0.000000 0.000000 0.000000 
 mc Seq:18304, 0.993000 0.000000 0.000000 0.000000 
 mc Seq:18404, 0.918000 0.000000 0.000000 0.000000 
 mc Seq:18504, 1.007000 0.000000 0.000000 0.000000 
 mc Seq:18604, 0.989000 0.000000 0.000000 0.000000 
 mc Seq:18704, 0.970000 0.000000 0.000000 0.000000 
 mc Seq:18804, 0.965000 0.000000 0.000000 0.000000 
 mc Seq:18904, 0.932000 0.000000 0.000000 0.000000 
 mc Seq:19004, 0.979000 0.000000 0.000000 0.000000 
 mc Seq:19104, 0.970000 0.000000 0.000000 0.000000 
 mc Seq:19204, 0.956000 0.000000 0.000000 0.000000 
 mc Seq:19304, 0.895000 0.000000 0.000000 0.000000 
 mc Seq:19404, 0.904000 0.000000 0.000000 0.000000 
 mc Seq:19504, 1.017000 0.000000 0.000000 0.000000 
 mc Seq:19604, 0.965000 0.000000 0.000000 0.000000 
 mc Seq:19704, 0.932000 0.000000 0.000000 0.000000 
 mc Seq:19804, 0.979000 0.000000 0.000000 0.000000 
 mc Seq:19904, 0.975000 0.000000 0.000000 0.000000 
